Stock Code,Issuer,Sector,HSI/HKQAA Ratings,MSCI ESG Rating,S&P ESG Rating
1,CK Hutchison Holdings Ltd.,Conglomerates - Conglomerates,AA+,B,48
2,CLP Holdings Ltd.,Utilities - Utilities,AAA,AA,62
3,"Hong Kong and China Gas Co. Ltd., The",Utilities - Utilities,AAA,AA,70
4,"Wharf (Holdings) Ltd., The",Properties &amp; Construction - Properties,AA+,A,48
5,HSBC Holdings plc,Financials - Banks,A+,AA,58
6,Power Assets Holdings Ltd.,Utilities - Utilities,AA+,A,62
8,PCCW Ltd.,Telecommunications - Telecommunications,AA,BBB,50
10,Hang Lung Group Ltd.,Properties &amp; Construction - Properties,A+,A,45
12,Henderson Land Development Co. Ltd.,Properties &amp; Construction - Properties,AA+,BBB,79
13,HUTCHMED (China) Ltd.,Healthcare - Pharmaceuticals &amp; Biotechnology,A-,AA,47
14,Hysan Development Co. Ltd.,Properties &amp; Construction - Properties,AA,AA,43
16,Sun Hung Kai Properties Ltd.,Properties &amp; Construction - Properties,AAA,AA,79
17,New World Development Co. Ltd.,Properties &amp; Construction - Properties,AA+,BBB,71
19,Swire Pacific Ltd.,Conglomerates - Conglomerates,AA+,AA,71
20,SenseTime Group Inc. - W,Information Technology - Software &amp; Services,BBB+,,
23,"Bank of East Asia, Ltd., The",Financials - Banks,AA,AA,55
27,Galaxy Entertainment Group Ltd.,Consumer Discretionary - Travel &amp; Leisure,BBB+,BBB,31
31,China Aerospace International Holdings Ltd.,Industrials - Industrial Engineering,27,,27
33,International Genius Co.,Consumer Discretionary - Household Goods &amp; Electronics,22,,22
35,Far East Consortium International Ltd.,Properties &amp; Construction - Properties,31,,31
38,First Tractor Co Ltd. - H Shares,Industrials - Industrial Engineering,BBB-,,28
41,Great Eagle Holdings Ltd.,Properties &amp; Construction - Properties,AA+,,
52,Fairwood Holdings Ltd.,Consumer Discretionary - Travel &amp; Leisure,32,,32
59,Skyfame Realty (Holdings) Ltd.,Properties &amp; Construction - Properties,25,,25
66,MTR Corporation Ltd.,Consumer Discretionary - Travel &amp; Leisure,AA,AAA,57
69,Shangri-La Asia Ltd.,Consumer Discretionary - Travel &amp; Leisure,48,,48
81,China Overseas Grand Oceans Group Ltd.,Properties &amp; Construction - Properties,BBB,A,65
83,Sino Land Co. Ltd.,Properties &amp; Construction - Properties,AAA,AAA,86
86,Sun Hung Kai &amp; Co. Ltd.,Financials - Other Financials,25,,25
87,Swire Pacific Ltd.,Conglomerates - Conglomerates,AA+,,71
95,LVGEM (China) Real Estate Investment Co. Ltd.,Properties &amp; Construction - Properties,27,,27
101,Hang Lung Properties Ltd.,Properties &amp; Construction - Properties,AA+,AA,83
107,Sichuan Expressway Co. Ltd. - H Shares,Industrials - Industrial Transportation,29,,29
116,Chow Sang Sang Holdings International Ltd.,Consumer Discretionary - Specialty Retail,25,,25
119,"Poly Property Group Co., Ltd.",Properties &amp; Construction - Properties,A-,B,29
123,Yuexiu Property Co. Ltd.,Properties &amp; Construction - Properties,A+,BB,61
127,Chinese Estates Holdings Ltd.,Properties &amp; Construction - Properties,26,,26
128,ENM Holdings Ltd.,Consumer Discretionary - Specialty Retail,26,,26
135,Kunlun Energy Co. Ltd.,Utilities - Utilities,A-,A,60
136,China Ruyi Holdings Ltd.,Consumer Discretionary - Media &amp; Entertainment,BBB,A,32
142,First Pacific Co. Ltd.,Consumer Staples - Food &amp; Beverages,A-,BB,51
144,China Merchants Port Holdings Co. Ltd.,Industrials - Industrial Transportation,A,A,52
